time,x,y,z,phi_p,theta_p,psi_p,phi_c,theta_c,psi_c,u,v,w,p_p,q_p,r_p,p_c,q_c,r_c
0.000000,0.000000,0.000000,-1000.000000,0.000000,0.100000,0.000000,0.000000,0.100000,0.000000,10.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100000,0.978914,0.000000,-1000.139359,0.000000,0.112529,0.000000,0.000000,0.109254,0.000000,9.748126,0.000000,-0.168639,0.000000,0.218729,0.000000,0.000000,0.205394,0.000000
0.200000,1.931999,0.000000,-1000.248742,0.000000,0.139053,0.000000,0.000000,0.143414,0.000000,9.428896,0.000000,0.398234,0.000000,0.295481,0.000000,0.000000,0.476690,0.000000
0.300000,2.857821,0.000000,-1000.320033,0.000000,0.169313,0.000000,0.000000,0.202944,0.000000,9.084476,0.000000,1.038411,0.000000,0.302176,0.000000,0.000000,0.696322,0.000000
0.400000,3.759696,0.000000,-1000.349582,0.000000,0.198567,0.000000,0.000000,0.277805,0.000000,8.760334,0.000000,1.677109,0.000000,0.280566,0.000000,0.000000,0.771744,0.000000
0.500000,4.644027,0.000000,-1000.337474,0.000000,0.225293,0.000000,0.000000,0.350820,0.000000,8.487224,0.000000,2.268020,0.000000,0.251416,0.000000,0.000000,0.652998,0.000000
0.600000,5.518522,0.000000,-1000.291307,0.000000,0.247793,0.000000,0.000000,0.399086,0.000000,8.313595,0.000000,2.704267,0.000000,0.192165,0.000000,0.000000,0.269995,0.000000
0.700000,6.390751,0.000000,-1000.225367,0.000000,0.263243,0.000000,0.000000,0.397830,0.000000,8.235584,0.000000,2.967221,0.000000,0.115325,0.000000,0.000000,-0.306347,0.000000
0.800000,7.262561,0.000000,-1000.148200,0.000000,0.270982,0.000000,0.000000,0.339550,0.000000,8.160365,0.000000,3.120263,0.000000,0.039377,0.000000,0.000000,-0.823182,0.000000
0.900000,8.125668,0.000000,-1000.059809,0.000000,0.271143,0.000000,0.000000,0.244801,0.000000,7.969121,0.000000,3.203150,0.000000,-0.036301,0.000000,0.000000,-1.002422,0.000000
1.000000,8.963581,0.000000,-999.956894,0.000000,0.263793,0.000000,0.000000,0.153994,0.000000,7.627116,0.000000,3.207845,0.000000,-0.109108,0.000000,0.000000,-0.755938,0.000000
1.100000,9.762657,0.000000,-999.838139,0.000000,0.249872,0.000000,0.000000,0.102058,0.000000,7.225203,0.000000,3.151179,0.000000,-0.165743,0.000000,0.000000,-0.268127,0.000000
1.200000,10.521109,0.000000,-999.703373,0.000000,0.231428,0.000000,0.000000,0.099276,0.000000,6.880181,0.000000,3.090030,0.000000,-0.199383,0.000000,0.000000,0.186435,0.000000
1.300000,11.248371,0.000000,-999.552032,0.000000,0.210686,0.000000,0.000000,0.131096,0.000000,6.673857,0.000000,3.059677,0.000000,-0.212349,0.000000,0.000000,0.400026,0.000000
1.400000,11.960088,0.000000,-999.384656,0.000000,0.189513,0.000000,0.000000,0.168085,0.000000,6.637057,0.000000,3.052157,0.000000,-0.208881,0.000000,0.000000,0.290641,0.000000
1.500000,12.671337,0.000000,-999.203477,0.000000,0.169255,0.000000,0.000000,0.180711,0.000000,6.726839,0.000000,3.050466,0.000000,-0.195534,0.000000,0.000000,-0.061569,0.000000
1.600000,13.390198,0.000000,-999.010067,0.000000,0.150400,0.000000,0.000000,0.154062,0.000000,6.848985,0.000000,3.056828,0.000000,-0.182614,0.000000,0.000000,-0.459762,0.000000
1.700000,14.115294,0.000000,-998.803663,0.000000,0.132359,0.000000,0.000000,0.094157,0.000000,6.912006,0.000000,3.074027,0.000000,-0.180423,0.000000,0.000000,-0.699932,0.000000
1.800000,14.837898,0.000000,-998.582698,0.000000,0.113825,0.000000,0.000000,0.023388,0.000000,6.871954,0.000000,3.085047,0.000000,-0.192059,0.000000,0.000000,-0.672138,0.000000
1.900000,15.547886,0.000000,-998.346980,0.000000,0.093715,0.000000,0.000000,-0.032341,0.000000,6.756015,0.000000,3.073944,0.000000,-0.210262,0.000000,0.000000,-0.417452,0.000000
2.000000,16.240231,0.000000,-998.097274,0.000000,0.071907,0.000000,0.000000,-0.057401,0.000000,6.635808,0.000000,3.050285,0.000000,-0.224602,0.000000,0.000000,-0.086397,0.000000
2.100000,16.917509,0.000000,-997.833672,0.000000,0.049133,0.000000,0.000000,-0.052586,0.000000,6.581514,0.000000,3.034419,0.000000,-0.229062,0.000000,0.000000,0.157210,0.000000
2.200000,17.588410,0.000000,-997.555523,0.000000,0.026481,0.000000,0.000000,-0.032653,0.000000,6.636060,0.000000,3.032711,0.000000,-0.222221,0.000000,0.000000,0.206735,0.000000
2.300000,18.264022,0.000000,-997.262506,0.000000,0.005012,0.000000,0.000000,-0.018240,0.000000,6.797206,0.000000,3.037956,0.000000,-0.206056,0.000000,0.000000,0.055482,0.000000
2.400000,18.952983,0.000000,-996.954892,0.000000,-0.014592,0.000000,0.000000,-0.025275,0.000000,7.015964,0.000000,3.045961,0.000000,-0.186055,0.000000,0.000000,-0.200694,0.000000
2.500000,19.657934,0.000000,-996.632966,0.000000,-0.032316,0.000000,0.000000,-0.057110,0.000000,7.224349,0.000000,3.058305,0.000000,-0.169519,0.000000,0.000000,-0.418138,0.000000
2.600000,20.375258,0.000000,-996.297050,0.000000,-0.048790,0.000000,0.000000,-0.103621,0.000000,7.371653,0.000000,3.070745,0.000000,-0.161362,0.000000,0.000000,-0.482568,0.000000
2.700000,21.098115,0.000000,-995.948108,0.000000,-0.064847,0.000000,0.000000,-0.147377,0.000000,7.449804,0.000000,3.073602,0.000000,-0.160497,0.000000,0.000000,-0.367795,0.000000
2.800000,21.820971,0.000000,-995.587484,0.000000,-0.080941,0.000000,0.000000,-0.173321,0.000000,7.493287,0.000000,3.065747,0.000000,-0.161050,0.000000,0.000000,-0.143215,0.000000
2.900000,22.542806,0.000000,-995.215774,0.000000,-0.096907,0.000000,0.000000,-0.176205,0.000000,7.553977,0.000000,3.057153,0.000000,-0.157210,0.000000,0.000000,0.074464,0.000000
3.000000,23.267543,0.000000,-994.832385,0.000000,-0.112133,0.000000,0.000000,-0.162156,0.000000,7.674055,0.000000,3.056281,0.000000,-0.146079,0.000000,0.000000,0.183553,0.000000
3.100000,24.002189,0.000000,-994.436314,0.000000,-0.125878,0.000000,0.000000,-0.144675,0.000000,7.867165,0.000000,3.062843,0.000000,-0.127884,0.000000,0.000000,0.143553,0.000000
3.200000,24.753578,0.000000,-994.027115,0.000000,-0.137572,0.000000,0.000000,-0.137337,0.000000,8.111016,0.000000,3.073685,0.000000,-0.105800,0.000000,0.000000,-0.007170,0.000000
3.300000,25.525180,0.000000,-993.605170,0.000000,-0.147077,0.000000,0.000000,-0.146758,0.000000,8.359682,0.000000,3.088375,0.000000,-0.084963,0.000000,0.000000,-0.174873,0.000000
3.400000,26.315810,0.000000,-993.171563,0.000000,-0.154765,0.000000,0.000000,-0.169590,0.000000,8.568999,0.000000,3.105445,0.000000,-0.069917,0.000000,0.000000,-0.263131,0.000000
3.500000,27.120883,0.000000,-992.727979,0.000000,-0.161302,0.000000,0.000000,-0.194968,0.000000,8.719465,0.000000,3.119432,0.000000,-0.061736,0.000000,0.000000,-0.224452,0.000000
3.600000,27.935406,0.000000,-992.276297,0.000000,-0.167247,0.000000,0.000000,-0.210896,0.000000,8.824927,0.000000,3.126808,0.000000,-0.057392,0.000000,0.000000,-0.083783,0.000000
3.700000,28.756879,0.000000,-991.817775,0.000000,-0.172752,0.000000,0.000000,-0.210849,0.000000,8.921519,0.000000,3.131002,0.000000,-0.052216,0.000000,0.000000,0.080622,0.000000
3.800000,29.586521,0.000000,-991.352607,0.000000,-0.177546,0.000000,0.000000,-0.196855,0.000000,9.045793,0.000000,3.137830,0.000000,-0.042849,0.000000,0.000000,0.184000,0.000000
3.900000,30.428454,0.000000,-990.880406,0.000000,-0.181151,0.000000,0.000000,-0.177770,0.000000,9.215237,0.000000,3.149299,0.000000,-0.028568,0.000000,0.000000,0.180271,0.000000
4.000000,31.287361,0.000000,-990.401091,0.000000,-0.183155,0.000000,0.000000,-0.164031,0.000000,9.419155,0.000000,3.164467,0.000000,-0.011370,0.000000,0.000000,0.084646,0.000000
4.100000,32.165874,0.000000,-989.915354,0.000000,-0.183452,0.000000,0.000000,-0.161830,0.000000,9.625476,0.000000,3.182715,0.000000,0.004928,0.000000,0.000000,-0.037982,0.000000
4.200000,33.063184,0.000000,-989.424616,0.000000,-0.182325,0.000000,0.000000,-0.169975,0.000000,9.799715,0.000000,3.202631,0.000000,0.016717,0.000000,0.000000,-0.112152,0.000000
4.300000,33.975666,0.000000,-988.930745,0.000000,-0.180306,0.000000,0.000000,-0.181086,0.000000,9.924340,0.000000,3.220410,0.000000,0.022852,0.000000,0.000000,-0.095203,0.000000
4.400000,34.899053,0.000000,-988.435596,0.000000,-0.177881,0.000000,0.000000,-0.186271,0.000000,10.007743,0.000000,3.233151,0.000000,0.025377,0.000000,0.000000,-0.000409,0.000000
4.500000,35.830789,0.000000,-987.940440,0.000000,-0.175231,0.000000,0.000000,-0.180428,0.000000,10.077306,0.000000,3.242329,0.000000,0.027924,0.000000,0.000000,0.114338,0.000000
4.600000,36.771169,0.000000,-987.445728,0.000000,-0.172198,0.000000,0.000000,-0.164949,0.000000,10.161706,0.000000,3.251603,0.000000,0.033311,0.000000,0.000000,0.183855,0.000000
4.700000,37.722723,0.000000,-986.951507,0.000000,-0.168448,0.000000,0.000000,-0.146419,0.000000,10.274025,0.000000,3.262934,0.000000,0.042133,0.000000,0.000000,0.174149,0.000000
4.800000,38.688306,0.000000,-986.458056,0.000000,-0.163708,0.000000,0.000000,-0.132392,0.000000,10.404936,0.000000,3.276432,0.000000,0.052671,0.000000,0.000000,0.100105,0.000000
4.900000,39.669072,0.000000,-985.966183,0.000000,-0.157955,0.000000,0.000000,-0.126883,0.000000,10.529663,0.000000,3.291619,0.000000,0.061922,0.000000,0.000000,0.013271,0.000000
5.000000,40.663564,0.000000,-985.477127,0.000000,-0.151454,0.000000,0.000000,-0.128290,0.000000,10.623831,0.000000,3.306829,0.000000,0.067400,0.000000,0.000000,-0.031430,0.000000
5.100000,41.668430,0.000000,-984.992266,0.000000,-0.144620,0.000000,0.000000,-0.130822,0.000000,10.678113,0.000000,3.319227,0.000000,0.068752,0.000000,0.000000,-0.009080,0.000000
5.200000,42.680214,0.000000,-984.512751,0.000000,-0.137781,0.000000,0.000000,-0.128376,0.000000,10.702900,0.000000,3.327368,0.000000,0.067897,0.000000,0.000000,0.061987,0.000000
5.300000,43.697055,0.000000,-984.039214,0.000000,-0.131022,0.000000,0.000000,-0.118327,0.000000,10.720344,0.000000,3.332696,0.000000,0.067564,0.000000,0.000000,0.134906,0.000000
5.400000,44.719244,0.000000,-983.571800,0.000000,-0.124189,0.000000,0.000000,-0.102851,0.000000,10.749765,0.000000,3.337659,0.000000,0.069512,0.000000,0.000000,0.165652,0.000000
5.500000,45.748402,0.000000,-983.110531,0.000000,-0.117042,0.000000,0.000000,-0.087181,0.000000,10.796157,0.000000,3.343603,0.000000,0.073647,0.000000,0.000000,0.139784,0.000000
5.600000,46.785899,0.000000,-982.655637,0.000000,-0.109440,0.000000,0.000000,-0.076151,0.000000,10.848476,0.000000,3.350710,0.000000,0.078267,0.000000,0.000000,0.078656,0.000000
